Kode Provinsi,Provinsi,Kode Kab/Kota,Kabupaten/Kota,Jenis Wilayah
1100000,Aceh,1101000,Simeulue,Kabupaten
1100000,Aceh,1102000,Aceh Singkil,Kabupaten
1100000,Aceh,1103000,Aceh Selatan,Kabupaten
1100000,Aceh,1104000,Aceh Tenggara,Kabupaten
1100000,Aceh,1105000,Aceh Timur,Kabupaten
1100000,Aceh,1106000,Aceh Tengah,Kabupaten
1100000,Aceh,1107000,Aceh Barat,Kabupaten
1100000,Aceh,1108000,Aceh Besar,Kabupaten
1100000,Aceh,1109000,Pidie,Kabupaten
1100000,Aceh,1110000,Bireuen,Kabupaten
1100000,Aceh,1111000,Aceh Utara,Kabupaten
1100000,Aceh,1112000,Aceh Barat Daya,Kabupaten
1100000,Aceh,1113000,Gayo Lues,Kabupaten
1100000,Aceh,1114000,Aceh Tamiang,Kabupaten
1100000,Aceh,1115000,Nagan Raya,Kabupaten
1100000,Aceh,1116000,Aceh Jaya,Kabupaten
1100000,Aceh,1117000,Bener Meriah,Kabupaten
1100000,Aceh,1118000,Pidie Jaya,Kabupaten
1100000,Aceh,1171000,Banda Aceh,Kota
1100000,Aceh,1172000,Sabang,Kota
1100000,Aceh,1173000,Langsa,Kota
1100000,Aceh,1174000,Lhokseumawe,Kota
1100000,Aceh,1175000,Subulussalam,Kota
1200000,Sumatera Utara,1201000,Nias,Kabupaten
1200000,Sumatera Utara,1202000,Mandailing Natal,Kabupaten
1200000,Sumatera Utara,1203000,Tapanuli Selatan,Kabupaten
1200000,Sumatera Utara,1204000,Tapanuli Tengah,Kabupaten
1200000,Sumatera Utara,1205000,Tapanuli Utara,Kabupaten
1200000,Sumatera Utara,1206000,Toba Samosir,Kabupaten
1200000,Sumatera Utara,1207000,Labuhan Batu,Kabupaten
1200000,Sumatera Utara,1208000,Asahan,Kabupaten
1200000,Sumatera Utara,1209000,Simalungun,Kabupaten
1200000,Sumatera Utara,1210000,Dairi,Kabupaten
1200000,Sumatera Utara,1211000,Karo,Kabupaten
1200000,Sumatera Utara,1212000,Deli Serdang,Kabupaten
1200000,Sumatera Utara,1213000,Langkat,Kabupaten
1200000,Sumatera Utara,1214000,Nias Selatan,Kabupaten
1200000,Sumatera Utara,1215000,Humbang Hasundutan,Kabupaten
1200000,Sumatera Utara,1216000,Pakpak Bharat,Kabupaten
1200000,Sumatera Utara,1217000,Samosir,Kabupaten
1200000,Sumatera Utara,1218000,Serdang Bedagai,Kabupaten
1200000,Sumatera Utara,1219000,Batu Bara,Kabupaten
1200000,Sumatera Utara,1220000,Padang Lawas Utara,Kabupaten
1200000,Sumatera Utara,1221000,Padang Lawas,Kabupaten
1200000,Sumatera Utara,1222000,Labuhan Batu Selatan,Kabupaten
1200000,Sumatera Utara,1223000,Labuhan Batu Utara,Kabupaten
1200000,Sumatera Utara,1224000,Nias Utara,Kabupaten
1200000,Sumatera Utara,1225000,Nias Barat,Kabupaten
1200000,Sumatera Utara,1271000,Sibolga,Kota
1200000,Sumatera Utara,1272000,Tanjung Balai,Kota
1200000,Sumatera Utara,1273000,Pematang Siantar,Kota
1200000,Sumatera Utara,1274000,Tebing Tinggi,Kota
1200000,Sumatera Utara,1275000,Medan,Kota
1200000,Sumatera Utara,1276000,Binjai,Kota
1200000,Sumatera Utara,1277000,Padangsidimpuan,Kota
1200000,Sumatera Utara,1278000,Gunungsitoli,Kota
1300000,Sumatera Barat,1301000,Kepulauan Mentawai,Kabupaten
1300000,Sumatera Barat,1302000,Pesisir Selatan,Kabupaten
1300000,Sumatera Barat,1303000,Solok,Kabupaten
1300000,Sumatera Barat,1304000,Sijunjung,Kabupaten
1300000,Sumatera Barat,1305000,Tanah Datar,Kabupaten
1300000,Sumatera Barat,1306000,Padang Pariaman,Kabupaten
1300000,Sumatera Barat,1307000,Agam,Kabupaten
1300000,Sumatera Barat,1308000,Lima Puluh Kota,Kabupaten
1300000,Sumatera Barat,1309000,Pasaman,Kabupaten
1300000,Sumatera Barat,1310000,Solok Selatan,Kabupaten
1300000,Sumatera Barat,1311000,Dharmasraya,Kabupaten
1300000,Sumatera Barat,1312000,Pasaman Barat,Kabupaten
1300000,Sumatera Barat,1371000,Padang,Kota
1300000,Sumatera Barat,1372000,Solok,Kota
1300000,Sumatera Barat,1373000,Sawah Lunto,Kota
1300000,Sumatera Barat,1374000,Padang Panjang,Kota
1300000,Sumatera Barat,1375000,Bukittinggi,Kota
1300000,Sumatera Barat,1376000,Payakumbuh,Kota
1300000,Sumatera Barat,1377000,Pariaman,Kota
1400000,Riau,1401000,Kuantan Singingi,Kabupaten
1400000,Riau,1402000,Indragiri Hulu,Kabupaten
1400000,Riau,1403000,Indragiri Hilir,Kabupaten
1400000,Riau,1404000,Pelalawan,Kabupaten
1400000,Riau,1405000,Siak,Kabupaten
1400000,Riau,1406000,Kampar,Kabupaten
1400000,Riau,1407000,Rokan Hulu,Kabupaten
1400000,Riau,1408000,Bengkalis,Kabupaten
1400000,Riau,1409000,Rokan Hilir,Kabupaten
1400000,Riau,1410000,Kepulauan Meranti,Kabupaten
1400000,Riau,1471000,Pekanbaru,Kota
1400000,Riau,1473000,Dumai,Kota
1500000,Jambi,1501000,Kerinci,Kabupaten
1500000,Jambi,1502000,Merangin,Kabupaten
1500000,Jambi,1503000,Sarolangun,Kabupaten
1500000,Jambi,1504000,Batang Hari,Kabupaten
1500000,Jambi,1505000,Muaro Jambi,Kabupaten
1500000,Jambi,1506000,Tanjung Jabung Timur,Kabupaten
1500000,Jambi,1507000,Tanjung Jabung Barat,Kabupaten
1500000,Jambi,1508000,Tebo,Kabupaten
1500000,Jambi,1509000,Bungo,Kabupaten
1500000,Jambi,1571000,Jambi,Kota
1500000,Jambi,1572000,Sungai Penuh,Kota
1600000,Sumatera Selatan,1601000,Ogan Komering Ulu,Kabupaten
1600000,Sumatera Selatan,1602000,Ogan Komering Ilir,Kabupaten
1600000,Sumatera Selatan,1603000,Muara Enim,Kabupaten
1600000,Sumatera Selatan,1604000,Lahat,Kabupaten
1600000,Sumatera Selatan,1605000,Musi Rawas,Kabupaten
1600000,Sumatera Selatan,1606000,Musi Banyuasin,Kabupaten
1600000,Sumatera Selatan,1607000,Banyu Asin,Kabupaten
1600000,Sumatera Selatan,1608000,Ogan Komering Ulu Selatan,Kabupaten
1600000,Sumatera Selatan,1609000,Ogan Komering Ulu Timur,Kabupaten
1600000,Sumatera Selatan,1610000,Ogan Ilir,Kabupaten
1600000,Sumatera Selatan,1611000,Empat Lawang,Kabupaten
1600000,Sumatera Selatan,1612000,Penukal Abab Lematang Ilir,Kabupaten
1600000,Sumatera Selatan,1613000,Musi Rawas Utara,Kabupaten
1600000,Sumatera Selatan,1671000,Palembang,Kota
1600000,Sumatera Selatan,1672000,Prabumulih,Kota
1600000,Sumatera Selatan,1673000,Pagar Alam,Kota
1600000,Sumatera Selatan,1674000,Lubuklinggau,Kota
1700000,Bengkulu,1701000,Bengkulu Selatan,Kabupaten
1700000,Bengkulu,1702000,Rejang Lebong,Kabupaten
1700000,Bengkulu,1703000,Bengkulu Utara,Kabupaten
1700000,Bengkulu,1704000,Kaur,Kabupaten
1700000,Bengkulu,1705000,Seluma,Kabupaten
1700000,Bengkulu,1706000,Mukomuko,Kabupaten
1700000,Bengkulu,1707000,Lebong,Kabupaten
1700000,Bengkulu,1708000,Kepahiang,Kabupaten
1700000,Bengkulu,1709000,Bengkulu Tengah,Kabupaten
