Kode Provinsi,Provinsi,Kode Kab/Kota,Kabupaten/Kota,Jenis Wilayah,Kode Kecamatan,Kecamatan
1100000,Aceh,1101000,Simeulue,Kabupaten,1101010,Teupah Selatan
1100000,Aceh,1101000,Simeulue,Kabupaten,1101020,Simeulue Timur
1100000,Aceh,1101000,Simeulue,Kabupaten,1101021,Teupah Barat
1100000,Aceh,1101000,Simeulue,Kabupaten,1101022,Teupah Tengah
1100000,Aceh,1101000,Simeulue,Kabupaten,1101030,Simeulue Tengah
1100000,Aceh,1101000,Simeulue,Kabupaten,1101031,Teluk Dalam
1100000,Aceh,1101000,Simeulue,Kabupaten,1101032,Simeulue Cut
1100000,Aceh,1101000,Simeulue,Kabupaten,1101040,Salang
1100000,Aceh,1101000,Simeulue,Kabupaten,1101050,Simeulue Barat
1100000,Aceh,1101000,Simeulue,Kabupaten,1101051,Alafan
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102010,Pulau Banyak
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102011,Pulau Banyak Barat
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102020,Singkil
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102021,Singkil Utara
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102022,Kuala Baru
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102030,Simpang Kanan
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102031,Gunung Meriah
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102032,Danau Paris
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102033,Suro
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102042,Singkohor
1100000,Aceh,1102000,Aceh Singkil,Kabupaten,1102043,Kota Baharu
1100000,Aceh,1103000,Aceh Selatan,Kabupaten,1103010,Trumon
1100000,Aceh,1103000,Aceh Selatan,Kabupaten,1103011,Trumon Timur
1100000,Aceh,1103000,Aceh Selatan,Kabupaten,1103012,Trumon Tengah
1100000,Aceh,1103000,Aceh Selatan,Kabupaten,1103020,Bakongan
1100000,Aceh,1103000,Aceh Selatan,Kabupaten,1103021,Bakongan Timur
1100000,Aceh,1103000,Aceh Selatan,Kabupaten,1103022,Kota Bahagia
1100000,Aceh,1103000,Aceh Selatan,Kabupaten,1103030,Kluet Selatan
1100000,Aceh,1103000,Aceh Selatan,Kabupaten,1103031,Kluet Timur
